index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial,cluster,fast_score,slow_score
17,성북구,NE_GRID_0880,895,5,42,1047,47,18.64583333,96,0,2.977865272,0.271978105,0.677741868,0.285242015,0.400161681,0.711512245,1,0.504210135,0.365420042
17,성북구,NE_GRID_0881,912,0,19,133,19,45.6,376,0,3.841600541,0.414136405,0.878860098,0.446883911,0.413904608,0.878800479,1,0.676272348,0.443794603
17,성북구,NE_GRID_0882,838,0,10,70,10,76.18181818,78,0,4.346163914,0.497180219,0.647332206,0.557265358,0.354082458,0.677036985,1,0.584625952,0.438001078
17,성북구,NE_GRID_0884,895,0,0,0,0,895,43,0,6.797940413,0.900707075,0.560626401,1,0.400161681,0.570616981,0,0.70849402,0.62826166
16,강북구,NE_GRID_0885,1161,0,0,0,0,1161,43,0,7.057897937,0.943492313,0.560626401,1,0.61519806,0.611821464,0,0.727802886,0.755088716
16,강북구,NE_GRID_0886,701,2,3,221,5,116.8333333,182,0,4.769271197,0.566817541,0.771783594,0.669179052,0.243330639,0.748277149,1,0.683846827,0.41962035
16,강북구,NE_GRID_0890,986,4,4,508,8,109.5555556,120,0,4.70551816,0.556324716,0.710494731,0.594316129,0.473726758,0.692763987,1,0.644586609,0.526202622
16,강북구,NE_GRID_0891,628,0,0,0,0,628,36,0,6.444131257,0.842475219,0.534956255,1,0.184316896,0.581077987,0,0.671936829,0.496617149
15,도봉구,NE_GRID_0892,728,0,0,0,0,728,36,0,6.591673732,0.86675857,0.534956255,1,0.265157639,0.585815788,0,0.680835536,0.545936228
16,강북구,NE_GRID_0893,600,14,14,2880,28,20.68965517,163,0,3.076835427,0.288267157,0.755543469,0.37828039,0.161681487,0.77141004,1,0.556942492,0.260011501
15,도봉구,NE_GRID_0894,1016,14,14,2880,28,35.03448276,163,0,3.584476334,0.371817489,0.755543469,0.37828039,0.497978981,0.788943017,1,0.590467433,0.461685189
15,도봉구,NE_GRID_0895,816,0,0,0,0,816,113,0,6.705639095,0.885515616,0.701666182,1,0.336297494,0.744149909,0,0.779834398,0.597150054
15,도봉구,NE_GRID_0896,714,1,15,205,16,42,117,0,3.761200116,0.400903661,0.706775297,0.476890542,0.253839935,0.733249763,1,0.576977251,0.35050957
15,도봉구,NE_GRID_0897,964,0,1,7,1,482,63,0,6.180016654,0.799005785,0.616137108,0.872020988,0.455941795,0.647672013,0,0.695877854,0.615780197
15,도봉구,NE_GRID_0898,714,0,2,14,2,238,33,0,5.476463552,0.683211147,0.522429107,0.797158064,0.253839935,0.551789446,0,0.596101848,0.461807262
15,도봉구,NE_GRID_0899,1064,2,0,200,2,354.6666667,20,0,5.873993963,0.748638888,0.451044959,0.797158064,0.536782538,0.488916407,0,0.584073245,0.626942034
15,도봉구,NE_GRID_0900,1064,0,0,0,0,1064,32,0,6.970730078,0.929145748,0.518006401,1,0.536782538,0.563471876,0,0.697571797,0.706959866
15,도봉구,NE_GRID_0901,677,0,31,217,31,21.15625,171,0,3.098119624,0.291770228,0.762599548,0.360104938,0.22392886,0.774482384,1,0.561001228,0.291665884
15,도봉구,NE_GRID_0902,714,0,20,140,20,34,152,0,3.555348061,0.367023398,0.745257659,0.437875554,0.253839935,0.785513363,1,0.5835635,0.337854638
15,도봉구,NE_GRID_0903,972,0,4,28,4,194.4,151,0,5.27504874,0.65006119,0.744286183,0.702841936,0.462409054,0.786833359,0,0.703058479,0.562119914
15,도봉구,NE_GRID_0904,677,0,3,21,3,169.25,195,0,5.137267945,0.62738447,0.781950883,0.744041975,0.22392886,0.827543853,0,0.715554718,0.436543706
15,도봉구,NE_GRID_0905,1151,0,1,7,1,575.5,351,0,6.35697534,0.828130619,0.868694955,0.872020988,0.607113985,0.901361807,0,0.848168246,0.717377761
15,도봉구,NE_GRID_0906,1064,0,0,0,0,1064,287,0,6.970730078,0.929145748,0.83896566,1,0.536782538,0.876602701,0,0.87409939,0.723007829
15,도봉구,NE_GRID_0907,847,0,0,0,0,847,162,0,6.742880636,0.891645034,0.754637352,1,0.361358124,0.777638599,0,0.811447457,0.614807843
15,도봉구,NE_GRID_0908,728,2,2,214,4,145.6,32,0,4.987707789,0.602769037,0.518006401,0.702841936,0.265157639,0.579502646,1,0.559283597,0.432859216
15,도봉구,NE_GRID_0909,816,2,6,442,8,90.66666667,61,0,4.518158809,0.525488084,0.611433549,0.594316129,0.336297494,0.632711424,1,0.577064169,0.439496142
15,도봉구,NE_GRID_0911,1016,0,0,0,0,1016,79,0,6.924612396,0.921555446,0.649195749,1,0.497978981,0.681442474,0,0.7662677,0.690659316
15,도봉구,NE_GRID_0912,964,4,3,821,7,120.5,97,0,4.799914263,0.571860946,0.679261365,0.616062963,0.455941795,0.684817518,1,0.633975622,0.522315837
15,도봉구,NE_GRID_0913,728,42,0,5040,42,16.93023256,17,0,2.886488258,0.256938774,0.428207588,0.305551996,0.265157639,0.45963434,1,0.361270209,0.279745235
15,도봉구,NE_GRID_0914,728,0,0,0,0,728,5,0,6.591673732,0.86675857,0.265448553,1,0.265157639,0.268373824,2,0.5326063,0.532460843
21,성동구,NE_GRID_0918,400,0,43,261,43,9.090909091,72,0,2.311634929,0.162326252,0.6356301,0.301307333,0,0.644549562,1,0.442323272,0.124508222
21,성동구,NE_GRID_0919,1008,5,88,1266,93,10.72340426,190,0,2.461587207,0.187006223,0.778122514,0.161150192,0.491511722,0.815498245,1,0.522174252,0.378868856
21,성동구,NE_GRID_0920,400,5,52,718,57,6.896551724,415,0,2.066426174,0.121968447,0.893443961,0.250301378,0,0.919946935,1,0.565848144,0.119126163
21,성동구,NE_GRID_0921,1008,2,29,291,31,31.5,255,0,3.481240089,0.3548263,0.821516144,0.360104938,0.491511722,0.857066643,1,0.619395713,0.454393502
21,성동구,NE_GRID_0922,1008,0,6,38,6,144,100,0,4.976733742,0.600962868,0.683728528,0.64071749,0.491511722,0.661664231,1,0.648962348,0.552853945
21,성동구,NE_GRID_0923,410,0,0,0,0,410,0,0,6.018593214,0.772437828,0,1,0.008084074,0.106143033,2,0.354891769,0.358933806
21,성동구,NE_GRID_0924,527,0,0,0,0,527,8,0,6.269096284,0.813667,0.32551807,1,0.102667745,0.332115917,2,0.546901726,0.435476563
21,성동구,NE_GRID_0925,643,1,2,64,3,160.75,41,0,5.086051933,0.618955057,0.553734477,0.744041975,0.196443007,0.553121452,0,0.586975519,0.408329784
21,성동구,NE_GRID_0926,577,1,10,120,11,48.08333333,29,0,3.893519534,0.422681518,0.50388623,0.54120004,0.143088116,0.563272095,1,0.477068144,0.296669087
21,성동구,NE_GRID_0927,1008,0,9,63,9,100.8,181,0,4.623010104,0.542745087,0.770971813,0.574862923,0.491511722,0.742781424,1,0.672131685,0.53240164
21,성동구,NE_GRID_0928,582,0,6,42,6,83.14285714,13,0,4.432516035,0.511392525,0.390975442,0.64071749,0.147130154,0.451155507,1,0.452815004,0.33089236
19,동대문구,NE_GRID_0929,736,0,6,42,6,105.1428571,13,0,4.664785896,0.549620776,0.390975442,0.64071749,0.271624899,0.424071539,1,0.466685391,0.40701012
19,동대문구,NE_GRID_0930,1115,0,38,170,38,28.58974359,31,0,3.387427801,0.339386158,0.51344759,0.323579444,0.578011318,0.538628929,1,0.443889861,0.476171725
19,동대문구,NE_GRID_0931,1016,0,0,0,0,1016,66,0,6.924612396,0.921555446,0.622923775,1,0.497978981,0.661492737,0,0.751818115,0.689345718
19,동대문구,NE_GRID_0932,757,0,63,441,63,11.828125,210,0,2.551640026,0.201827611,0.792875954,0.232125926,0.288601455,0.8286742,1,0.537302555,0.285165305
19,동대문구,NE_GRID_0933,1115,0,1,3,1,557.5,475,0,6.325254619,0.822909848,0.913404548,0.872020988,0.578011318,0.92899992,0,0.870259235,0.70256262
19,동대문구,NE_GRID_0934,952,2,3,221,5,158.6666667,140,0,5.073088309,0.616821432,0.733157087,0.669179052,0.446240905,0.767394646,0,0.68274854,0.539290449
19,동대문구,NE_GRID_0935,435,0,0,0,0,435,32,0,6.077642243,0.782156442,0.518006401,1,0.02829426,0.550300309,0,0.642749522,0.397893451
19,동대문구,NE_GRID_0936,705,0,2,14,2,235,10,0,5.463831805,0.681132145,0.355247365,0.797158064,0.246564268,0.390733114,2,0.503372306,0.449030757
17,성북구,NE_GRID_0937,665,0,2,14,2,221.6666667,10,0,5.405675885,0.671560524,0.355247365,0.797158064,0.214227971,0.357853918,2,0.499841167,0.42933147
19,동대문구,NE_GRID_0938,736,0,1,7,1,368,3,0,5.910796644,0.754696076,0.205379036,0.872020988,0.271624899,0.231760025,2,0.451883128,0.485006059
17,성북구,NE_GRID_0939,895,0,1,7,1,447.5,3,0,6.105908681,0.786808688,0.205379036,0.872020988,0.400161681,0.205198374,2,0.464732489,0.562123812
17,성북구,NE_GRID_0940,651,0,0,0,0,651,1,0,6.480044562,0.848386028,0.102689518,1,0.202910267,0.107999144,2,0.436301954,0.486412328
17,성북구,NE_GRID_0941,698,0,25,83,25,26.84615385,0,0,3.326694854,0.329390396,0,0.398442367,0.240905416,0.071753078,2,0.157611823,0.278064531
17,성북구,NE_GRID_0942,1380,0,0,0,0,1380,49,0,7.230563153,0.971910504,0.579564872,1,0.792239289,0.569047582,0,0.752754745,0.859091953
17,성북구,NE_GRID_0943,912,0,0,0,0,912,185,0,6.816735881,0.903800536,0.774192584,1,0.413904608,0.742650518,0,0.827261259,0.647117271
17,성북구,NE_GRID_0945,698,0,0,0,0,698,52,0,6.549650742,0.859842196,0.58819739,1,0.240905416,0.58706865,0,0.707522275,0.533876288
16,강북구,NE_GRID_0946,1161,0,0,0,0,1161,52,0,7.057897937,0.943492313,0.58819739,1,0.61519806,0.633062616,0,0.74296693,0.756467265
17,성북구,NE_GRID_0947,838,0,0,0,0,838,133,0,6.732210706,0.889888918,0.725613293,1,0.354082458,0.748679479,0,0.794769218,0.6090038
16,강북구,NE_GRID_0948,937,0,0,0,0,937,133,0,6.843749949,0.90824666,0.725613293,1,0.434114794,0.762295625,0,0.802442383,0.656693133
16,강북구,NE_GRID_0949,1161,0,0,0,0,1161,126,0,7.057897937,0.943492313,0.717664662,1,0.61519806,0.732596511,0,0.81417393,0.762940629
16,강북구,NE_GRID_0950,937,2,13,175,15,58.5625,28,0,4.087026181,0.454529906,0.498863727,0.48808395,0.434114794,0.548197428,1,0.484603561,0.452229094
16,강북구,NE_GRID_0952,628,0,17,119,17,34.88888889,116,0,3.580427746,0.37115115,0.705514441,0.466337117,0.184316896,0.720788159,1,0.564746441,0.304147668
14,노원구,NE_GRID_0953,928,0,17,119,17,51.55555556,116,0,3.961870811,0.433931147,0.705514441,0.466337117,0.426839127,0.741993511,1,0.589428552,0.450090895
15,도봉구,NE_GRID_0954,728,0,17,119,17,40.44444444,116,0,3.724353842,0.394839298,0.705514441,0.466337117,0.265157639,0.726397355,1,0.573526108,0.353347707
16,강북구,NE_GRID_0955,830,0,40,248,40,20.24390244,42,0,3.05606991,0.284849455,0.557220512,0.314345786,0.347615198,0.601628107,1,0.44369109,0.338888433
14,노원구,NE_GRID_0956,1637,0,40,248,40,39.92682927,42,0,3.71178582,0.392770784,0.557220512,0.314345786,1,0.586031951,1,0.497894596,0.71928434
15,도봉구,NE_GRID_0958,972,0,7,49,7,121.5,67,0,4.80811103,0.573210015,0.625118625,0.616062963,0.462409054,0.601673277,1,0.604790292,0.523435507
15,도봉구,NE_GRID_0963,740,0,1,7,1,370,53,0,5.916202063,0.755585729,0.590966624,0.872020988,0.274858529,0.624684509,0,0.664295913,0.506241866
15,도봉구,NE_GRID_0964,1064,8,10,1070,18,56,187,0,4.043051268,0.447292273,0.775777088,0.456354432,0.536782538,0.800642076,1,0.634245866,0.514748591
15,도봉구,NE_GRID_0965,847,0,28,200,28,29.20689655,245,0,3.408070261,0.342783608,0.815612986,0.37828039,0.361358124,0.824078381,1,0.610867848,0.383740417
15,도봉구,NE_GRID_0966,964,0,46,182,46,20.5106383,36,0,3.068547617,0.286903104,0.534956255,0.289129204,0.455941795,0.596188799,1,0.432229492,0.392722262
15,도봉구,NE_GRID_0967,964,0,0,0,0,964,47,0,6.872128101,0.912917292,0.573517107,1,0.455941795,0.604077527,0,0.720814957,0.662027301
15,도봉구,NE_GRID_0968,531,4,24,960,28,18.31034483,65,0,2.960640954,0.269143232,0.620695918,0.37828039,0.105901374,0.66983515,1,0.476162548,0.218765276
15,도봉구,NE_GRID_0969,1152,13,36,1012,49,23.04,270,0,3.17971911,0.30520032,0.829951989,0.277704859,0.607922393,0.848964826,1,0.603450749,0.492435951
