index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
17,성북구,NE_GRID_1218,660,0,0,0,0,660,86,0,6.49375384,0.850642376,0.661622762,1,0.210185934,0.675103229
14,노원구,NE_GRID_1219,783,0,0,0,0,783,86,0,6.66440902,0.878729744,0.661622762,1,0.309620049,0.692883809
14,노원구,NE_GRID_1220,1015,6,0,1800,6,145,71,0,4.983606622,0.602094044,0.633586624,0.64071749,0.497170574,0.635060279
14,노원구,NE_GRID_1221,855,0,0,0,0,855,7,0,6.752270376,0.893190449,0.308068554,1,0.367825384,0.363194174
14,노원구,NE_GRID_1223,1502,0,25,183,25,57.76923077,109,0,4.073618432,0.452323185,0.69637456,0.398442367,0.890864996,0.691927421
14,노원구,NE_GRID_1224,844,0,4,20,4,168.8,81,0,5.134621274,0.626948866,0.652853951,0.702841936,0.358932902,0.622526246
14,노원구,NE_GRID_1226,828,0,0,0,0,828,0,0,6.720220155,0.887915447,0,1,0.345998383,0
15,도봉구,NE_GRID_1227,714,0,0,0,0,714,0,0,6.572282543,0.863567062,0,1,0.253839935,0.054944163
14,노원구,NE_GRID_1228,1015,2,0,200,2,338.3333333,33,0,5.826982908,0.74090155,0.522429107,0.797158064,0.497170574,0.494497471
15,도봉구,NE_GRID_1229,531,2,0,200,2,177,33,0,5.18178355,0.634711093,0.522429107,0.797158064,0.105901374,0.519574096
14,노원구,NE_GRID_1230,729,6,0,600,6,104.1428571,4,0,4.65531997,0.548062822,0.238437677,0.64071749,0.265966047,0.280633786
15,도봉구,NE_GRID_1231,714,6,0,600,6,102,4,0,4.634728988,0.544673845,0.238437677,0.64071749,0.253839935,0.279194519
14,노원구,NE_GRID_1232,1274,0,3,21,3,318.5,30,0,5.766757274,0.730989284,0.508744031,0.744041975,0.7065481,0.506620691
15,도봉구,NE_GRID_1233,740,0,3,21,3,185,30,0,5.225746674,0.641946785,0.508744031,0.744041975,0.274858529,0.541861184
14,노원구,NE_GRID_1234,855,0,17,119,17,47.5,47,0,3.881563798,0.420713777,0.573517107,0.466337117,0.367825384,0.596358951
15,도봉구,NE_GRID_1235,728,0,17,119,17,40.44444444,47,0,3.724353842,0.394839298,0.573517107,0.466337117,0.265157639,0.614450539
14,노원구,NE_GRID_1236,928,7,6,635,13,66.28571429,98,0,4.208947945,0.47459646,0.680765436,0.512738477,0.426839127,0.704685476
15,도봉구,NE_GRID_1237,677,7,6,635,13,48.35714286,98,0,3.899082494,0.423597101,0.680765436,0.512738477,0.22392886,0.669444984
14,노원구,NE_GRID_1238,729,0,0,0,0,729,4,0,6.593044534,0.866984185,0.238437677,1,0.265966047,0.337488422
14,노원구,NE_GRID_1239,1083,0,38,266,38,27.76923077,65,0,3.35930644,0.33475779,0.620695918,0.323579444,0.55214228,0.601307711
14,노원구,NE_GRID_1240,922,0,0,0,0,922,31,0,6.827629235,0.905593424,0.51344759,1,0.421988682,0.586403598
14,노원구,NE_GRID_1241,828,0,18,126,18,43.57894737,304,0,3.797261715,0.406838877,0.847462235,0.456354432,0.345998383,0.83028991
14,노원구,NE_GRID_1242,778,0,0,0,0,778,57,0,6.658011046,0.87767673,0.601553245,1,0.305578011,0.676251323
14,노원구,NE_GRID_1243,1147,0,12,84,12,88.23076923,180,0,4.491225927,0.521055322,0.770155559,0.526421379,0.603880356,0.794634455
14,노원구,NE_GRID_1244,828,1,16,130,17,46,210,0,3.850147602,0.415543127,0.792875954,0.466337117,0.345998383,0.823816034
14,노원구,NE_GRID_1245,1502,0,45,191,45,32.65217391,128,0,3.516077658,0.360560059,0.719979547,0.293099996,0.890864996,0.764257172
14,노원구,NE_GRID_1246,1274,0,43,177,43,28.95454545,123,0,3.399681081,0.34140287,0.714123067,0.301307333,0.7065481,0.726075658
14,노원구,NE_GRID_1247,1490,0,1,7,1,745,23,0,6.6147256,0.870552574,0.470827589,0.872020988,0.881164107,0.492842176
20,광진구,NE_GRID_1249,656,0,0,0,0,656,0,0,6.487684018,0.849643372,0,1,0.206952304,0.021599829
